track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart
Hate You,3550115,Jung Kook,spotify:track:5ONOlTiqymhzwcFjqcIT6E,BIGHIT MUSIC,10,10,-1,13
Hear Me Out,135531,EXO,spotify:track:44EXniDpWap2veS1gH1svO,SM Entertainment,192,192,-1,1
Heaven,131253,Niall Horan,spotify:track:1yHVHoz6Ny29gbbWJYVnFt,Capitol Records,158,158,-1,1
Her,8450829,"YENTED, ARARYOZI, Chocolate - t",spotify:track:24KtV9epEPcolK3Cctm2ni,Yented,61,61,-1,134
Here I Stand,923972,TREASURE,spotify:track:2muMPwLTvz3tnGg5Jz4rjA,YGEX,7,7,-1,2
Here With Me,8960161,d4vd,spotify:track:78Sw5GDo6AlGwTwanjXbGh,Darkroom/Interscope Records,36,36,-1,43
Hey Daddy (Daddy's Home),331302,USHER,spotify:track:030OCtLMrljNhp8OWHBWW3,LaFace Records,173,173,-1,2
Hold On Tight,281398,aespa,spotify:track:1o844wI52S3TjXGBwvGcc7,Parlophone UK,120,120,-1,2
Horizon,1887360,JAEHYUN,spotify:track:2HfAb3qB9w3t9x5e7ZjX5T,SM Entertainment,25,25,-1,6
Houdini,167989,Dua Lipa,spotify:track:4OMJGnvZfDvsePyCwRGO7X,Warner Records,148,148,-1,1
How Sweet,1900950,NewJeans,spotify:track:38tXZcL1gZRfbqfOG0VMTH,ADOR,47,47,-1,6
How You Like That,10880032,BLACKPINK,spotify:track:4SFknyjLcyTLJFPKD2m96o,YG Entertainment,1,12,-1,131
Hurt,3443972,NewJeans,spotify:track:5expoVGQPvXuwBBFuNGqBd,ADOR,55,59,59,40
Hype Boy,11626876,NewJeans,spotify:track:0a4MMyCrzT0En247IhqZbD,ADOR,7,11,11,61
I AM,3336905,IVE,spotify:track:70t7Q6AYG6ZgTYmJWcnkUM,Starship Entertainment,39,39,-1,16
I Ain't Worried,95730,OneRepublic,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,Interscope Records,94,200,-1,20
I Can Do It With a Broken Heart,379731,Taylor Swift,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,143,143,-1,2
I Got That Magic,183129,ATLAS,spotify:track:1bSjf9p0HSAeZmrT2vF41w,"TPOP INCORPORATION Co.,Ltd.",156,156,-1,1
I Just Wanna Know,11402952,PUN,spotify:track:2a78JDp7YVCyEydtRiHOn7,Universal Music (Thailand) Ltd.,12,12,-1,17
I Like You (A Happier Song) (with Doja Cat),2574775,"Post Malone, Doja Cat",spotify:track:0O6u0VJ46W86TxN9wgyqDj,Mercury Records/Republic Records,26,86,-1,47
I Love You So,15669068,The Walters,spotify:track:4SqWKzw0CbA05TGszDgMlc,Warner Records,31,100,-1,144
I NEED U - Spotify Singles,175480,ENHYPEN,spotify:track:3MOa6IKagO2lT9n0sI8fZQ,BELIFT LAB,177,177,-1,1
I WANT YOUR LOVE,413582,TREASURE,spotify:track:0xvad9jmdEnKOoLJHxhExG,YG Entertainment,75,75,-1,2
I Wanna Be Yours,20148692,Arctic Monkeys,spotify:track:5XeFesFbtLpXzIVDNQP22n,Domino Recording Co,92,92,-1,118
I'll Be There,7142020,Jin,spotify:track:2Qcbspnftnon37jibwyvMU,BIGHIT MUSIC,2,2,-1,3
I'm Good (Blue),100024,"David Guetta, Bebe Rexha",spotify:track:4uUG5RXrOk84mYEfFvj3cK,Parlophone UK,140,190,-1,7
ISTJ,2012621,NCT DREAM,spotify:track:43Pmqpiw4zFY77pT5QdxQ8,SM Entertainment,43,43,-1,9
Igloo,607735,KISS OF LIFE,spotify:track:2DbDefRFJ5YOfXCKOeCJJh,S2 ENTERTAINMENT INC.,187,187,-1,3
