track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,bpm,key,mode,danceability%,positiveness%,energy%,acousticness%,instrumentalness%,liveness%,speechness%
Lost in the Fire (feat. The Weeknd),155266,"Gesaffelstein, The Weeknd",spotify:track:7wFybC8jBH3zE139OpCtpG,Columbia,61,61,-1,4,101,D,Major,66,17,67,9,0,12,4
Louder than bombs,309888,BTS,spotify:track:3op7HNwLli54MBjFGzIlZO,BIGHIT MUSIC,38,38,-1,3,146,C,Minor,64,48,67,4,0,9,15
Love & War - Yellow Claw G-Funk Remix,272787,"Yellow Claw, Yade Lauren",spotify:track:5hFmtmkZ76uPgBIEW3vWA1,Mad Decent,157,157,-1,5,93,G#,Major,72,83,74,0,0,34,3
Love 119,3268310,RIIZE,spotify:track:0QlNUEvJTe2QtXprDcfaOA,SM Entertainment,58,58,-1,12,99,G#,Major,75,42,75,43,0,29,5
Love Again,221570,NCT DREAM,spotify:track:2eqehaP6hg04FQ82CLErFd,SM Entertainment,68,68,-1,3,104,C#,Major,70,59,92,5,0,6,12
Love Lee,1173385,AKMU,spotify:track:1qosh64U6CR5ki1g1Rf2dZ,YG Entertainment,104,104,-1,7,100,F,Minor,91,71,53,45,0,17,7
Love Me,258239,RealestK,spotify:track:4qgMPzf9QOETWQFUcFkHD4,Columbia,129,129,-1,4,122,G,Minor,57,27,32,67,0,14,4
Love Me Again,154692375,V,spotify:track:2N0SPREDYqILVEFSsWF5N5,BIGHIT MUSIC,1,1,-1,71,74,C,Minor,63,36,61,18,0,17,5
Love Me Harder,160221,WOODZ,spotify:track:6fDFxA3j4WpfeCVihCPWSH,"Genie Music Corporation, Stone Music Entertainment",150,150,-1,3,130,A#,Minor,73,66,80,2,0,13,4
Love Me Like That,6230409,Sam Kim,spotify:track:1lhm29o3syw122xynSKaAK,ADA Korea,2,2,-1,42,88,A,Major,59,46,29,85,0,9,7
