youtube_title,youtube_artist,publish_date,views,likes,video_url,youtube_source
JEON SOMI (전소미) - 'What You Waiting For' M/V,THEBLACKLABEL,2020-07-22T09:00:11Z,70610610,2509597,https://www.youtube.com/watch?v=lBYyAQ99ZFI,THEBLACKLABEL
EXO-SC 세훈&찬열 'What a life' MV,SMTOWN,2019-07-21T14:58:16Z,33628741,1909974,https://www.youtube.com/watch?v=AtNBhPxVwh0,SMTOWN
강다니엘(KANGDANIEL) - 뭐해(What are you up to) M/V,강다니엘 KANGDANIEL,2019-07-25T09:00:03Z,22613508,1008344,https://www.youtube.com/watch?v=_-QY40Reub8,강다니엘 KANGDANIEL
어떻게 생각해?,SUGA - Topic,2020-05-23T05:27:30Z,8633228,229559,https://www.youtube.com/watch?v=ndlqBiq2ll4,SUGA - Topic
j-hope 'What if…' Visualizer,BANGTANTV,2022-07-21T04:00:07Z,1789177,243306,https://www.youtube.com/watch?v=QHLVk1JI8XI,BANGTANTV
Drake - What's Next (Official Music Video),DrakeVEVO,2021-03-05T05:24:00Z,49980075,944483,https://www.youtube.com/watch?v=7EUVJaKJtBY,DrakeVEVO
Wheels Up,BamBam  - Topic,2022-04-21T15:01:35Z,1481597,18540,https://www.youtube.com/watch?v=-ssLM3WqJSM,BamBam  - Topic
NCT DREAM 엔시티 드림 'When I’m With You' MV,SMTOWN,2024-11-11T09:00:09Z,12743215,486602,https://www.youtube.com/watch?v=B1qq8IvzSz4,SMTOWN
Shawn Mendes - When You're Gone,ShawnMendesVEVO,2022-03-31T04:00:32Z,45854282,593284,https://www.youtube.com/watch?v=tp4fUH2E8uc,ShawnMendesVEVO
Where Were You In The Morning?,Shawn Mendes - Topic,2018-05-24T11:15:21Z,28161538,203333,https://www.youtube.com/watch?v=RRic28k8sVU,Shawn Mendes - Topic
aespa 에스파 'Whiplash' MV,SMTOWN,2024-10-21T09:00:42Z,115492848,1858918,https://www.youtube.com/watch?v=jWQx2f-CErU,SMTOWN
NCT 127 「Neo Zone」 '백야 (White Night)' #11 (Official Audio),NCT 127,2020-03-06T09:01:28Z,2414476,77749,https://www.youtube.com/watch?v=7_TGpw29zgQ,NCT 127
지민 (Jimin) 'Who' Official MV,HYBE LABELS,2024-07-19T03:58:08Z,83291427,2620855,https://www.youtube.com/watch?v=Av9DvtlJ9_M,HYBE LABELS
뱀뱀 (BamBam) 'Who Are You (Feat. SEULGI of Red Velvet)' MV reaction,Differently Alike,2021-12-31T15:00:40Z,59275,3511,https://www.youtube.com/watch?v=hm7LVz2SEA8,Differently Alike
The Chainsmokers - Who Do You Love (Official Video) ft. 5 Seconds of Summer,ChainsmokersVEVO,2019-03-25T19:58:46Z,88332943,1086221,https://www.youtube.com/watch?v=U0V1y2p1sgs,ChainsmokersVEVO
"[MV] 이달의 소녀 (LOONA) ""Why Not?""",loonatheworld,2020-10-19T09:00:01Z,44156954,876221,https://www.youtube.com/watch?v=b6li05zh3Kg,loonatheworld
iKON - ‘왜왜왜 (Why Why Why)’ M/V,iKON,2021-03-03T09:00:17Z,35084429,1416942,https://www.youtube.com/watch?v=DslHQto2V7I,iKON
RM Wild Flower (with Youjeen) Easy Lyrics,Lemonade,2022-12-02T07:05:17Z,462562,12567,https://www.youtube.com/watch?v=H43TU0oWKww,Lemonade
Taylor Swift - Wildest Dreams (Taylor’s Version) (Official Audio),TaylorSwiftVEVO,2021-09-17T22:04:01Z,34526694,745400,https://www.youtube.com/watch?v=CUr_UwUUXzU,TaylorSwiftVEVO
So!YoON! (황소윤) X Phum Viphurit ‘Wings’ Official MV,새소년 SE SO NEON,2020-10-20T09:15:04Z,5961367,122246,https://www.youtube.com/watch?v=dluPeE6PA-I,새소년 SE SO NEON
V 'Winter Ahead (with PARK HYO SHIN)' Official MV,HYBE LABELS,2024-11-29T05:00:00Z,15274554,1568448,https://www.youtube.com/watch?v=HAWYOuMGkK0,HYBE LABELS
