track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,clean_track_name
Power is Power (feat. The Weeknd & Travis Scott),156422,"SZA, The Weeknd, Travis Scott, Game of Thrones",spotify:track:4cbdPT6uaBOgOQe3fLMofl,Columbia,75,75,-1,4,powerispowerfeattheweekndtravisscott
Prisoner (feat. Dua Lipa),260546,"Miley Cyrus, Dua Lipa",spotify:track:2Oycxb8QbPkpHTo8ZrmG0B,RCA Records Label,109,109,-1,4,prisonerfeatdualipa
SOS (feat. Aloe Blacc),427521,"Avicii, Aloe Blacc",spotify:track:6nDKrPlXdpomGBgAlO7UdP,Universal Music AB,52,52,-1,10,sosfeataloeblacc
Save Your Tears (with Ariana Grande) (Remix),3475017,"The Weeknd, Ariana Grande",spotify:track:37BZB0z9T8Xu7U3e65qxFy,Republic Records,23,23,-1,43,saveyourtearswitharianagranderemix
Rewrite The Stars (with James Arthur & Anne-Marie),173139,"James Arthur, Anne-Marie",spotify:track:6mQLN3zRtAp6ovjusyYKrV,Atlantic Records,81,85,85,11,rewritethestarswithjamesarthurannemarie
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),168774,"Amaarae, Kali Uchis, MOLIY",spotify:track:09gysnJpfQ3ublBmJDfcEC,0207 Def Jam,152,152,-1,3,sadgirlzluvmoneyremixfeatkaliuchisandmoliy
STAY (with Justin Bieber),14810033,"The Kid LAROI, Justin Bieber",spotify:track:5PjdY0CKGZdEuoNab3yDmX,Columbia,1,1,-1,81,staywithjustinbieber
Say So (feat. Nicki Minaj),647205,"Doja Cat, Nicki Minaj",spotify:track:11VApNQCWLJdzxWrlmwzUa,Kemosabe Records/RCA Records,39,39,-1,7,saysofeatnickiminaj
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,472538,"The Weeknd, Ariana Grande",spotify:track:1oFAF1hdPOickyHgbuRjyX,XO / Republic Records,23,165,-1,51,saveyourtearsremixwitharianagrandebonustrack
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),147789,"Metro Boomin, Coi Leray",spotify:track:0AAMnNeIc6CdnfNU85GwCH,Republic Records,166,166,-1,1,selflovespidermanacrossthespiderversemetroboomincoileray
Sour Candy (with BLACKPINK),3710456,"Lady Gaga, BLACKPINK",spotify:track:1IWNylpZ477gIVUDpJL66u,Interscope,1,1,-1,23,sourcandywithblackpink
Soon You’ll Get Better (feat. The Chicks),44270,"Taylor Swift, The Chicks",spotify:track:4AYtqFyFbX0Xkc2wtcygTr,Taylor Swift,154,154,-1,1,soonyoullgetbetterfeatthechicks
Standing Next to You - Sped Up - Remix,3097832,Beat Record,spotify:track:0paWX66K9n7sYR9AkKkyzB,Pablo Nunes,1,1,1,17,standingnexttoyouspedupremix
Seven (feat. Latto) (Explicit Ver.),72037642,"Jung Kook, Latto",spotify:track:2HRgqmZQC0MC7GeNuDIXHN,BIGHIT MUSIC,1,2,1,78,sevenfeatlattoexplicitver
Surfing - feat. Plastic Plastic,307928,"SCRUBB, Plastic Plastic",spotify:track:3oY8TfWLkGJiJ8zcrANX8I,Scrubb,73,73,-1,4,surfingfeatplasticplastic
Ten Years Later (เพลงประกอบภาพยนตร์ เพราะเราคู่กัน The Movie),340927,WIN METAWIN,spotify:track:1NVyrOAoq5N07oBRgf4Q0R,GMM Music Public Company Limited,85,85,-1,6,tenyearslaterเพลงประกอบภาพยนตร์เพราะเราคู่กันthemovie
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),383146,"Martin Garrix, Macklemore, Fall Out Boy",spotify:track:7Feaw9WAEREY0DUOSXJLOM,Epic Amsterdam,76,76,-1,9,summerdaysfeatmacklemorepatrickstumpoffalloutboy
Summer of Love (Shawn Mendes & Tainy),351763,"Shawn Mendes, Tainy",spotify:track:0z8hI3OPS8ADPWtoCjjLl6,Shawn Mendes LP4-5 PS/ Island,64,64,-1,5,summerofloveshawnmendestainy
